id,family,spcode,treatment,LA,SLA,LMA,LDMC,leaf_fresh_weight,leaf_dry_weight,leaf_density,LT
66,nonlegume,sm,ambientrain,0.00448323,0.010829058,92.34413581,0.520754717,0.8,0.414,4.482725039,0.21
67,nonlegume,sm,ambientrain,0.00411227,0.011328567,88.27241402,0.476377953,0.76,0.363,3.672915979,0.24
68,nonlegume,sm,ambientrain,0.00347268,0.013835378,72.27847081,0.443462898,0.57,0.251,4.380513382,0.17
69,nonlegume,sm,ambientrain_water_nutrients,0.00663949,0.014496703,68.98120187,0.426443203,1.07,0.458,3.868104778,0.18
70,nonlegume,sm,ambientrain_water_nutrients,0.00829421,0.01425122,70.16943145,0.435628743,1.34,0.582,3.927393551,0.18
71,nonlegume,sm,ambientrain_water_nutrients,0.0063429,0.013409937,74.57156821,0.367807154,1.29,0.473,3.064584995,0.24
72,nonlegume,sm,ambientrain_water_nutrients,0.00887304,0.014451205,69.19838071,0.362669817,1.69,0.614,3.50076125,0.2
73,nonlegume,sm,ambientrain_water,0.00371382,0.01345587,74.31701052,0.416289593,0.66,0.276,4.151788297,0.18
74,nonlegume,sm,ambientrain_water,0.00255213,0.010678368,93.64726718,0.458733205,0.52,0.239,4.389715649,0.21
75,nonlegume,sm,ambientrain_water,0.00562645,0.009958319,100.4185588,0.574186992,0.98,0.565,4.385089903,0.23
76,nonlegume,sm,ambientrain_water,0.00791947,0.014914256,67.04994147,0.386744355,1.37,0.531,3.630863257,0.18
77,nonlegume,sm,ambientrain_nutrients,0.00664429,0.012607761,79.31622491,0.395348837,1.33,0.527,3.717948043,0.21
78,nonlegume,sm,ambientrain_nutrients,0.00345531,0.011255081,88.84875742,0.382316314,0.8,0.307,4.684468757,0.19
79,nonlegume,sm,ambientrain_nutrients,0.00709919,0.01834416,54.51326137,0.324937028,1.19,0.387,3.297173067,0.17
80,nonlegume,sm,ambientrain_nutrients,0.01396633,0.016183465,61.79146562,0.412721186,2.09,0.863,3.477943656,0.18
81,nonlegume,pq,Harvestatthebeginning,0.00086093,0.025321471,39.49217706,0.295652174,0.12,0.034,na,na
82,nonlegume,pq,Harvestatthebeginning,0.00107669,0.02909973,34.36458033,0.209039548,0.18,0.037,na,na
83,nonlegume,pq,Harvestatthebeginning,0.00133514,0.027815417,35.95128601,0.223255814,0.22,0.048,na,na
84,nonlegume,pq,Harvestatthebeginning,0.00099744,0.026248421,38.09752968,0.2375,0.16,0.038,na,na
85,nonlegume,pq,ambientrain,0.00315354,0.020215,49.46821667,0.320987654,0.49,0.156,2.986009055,0.17
86,nonlegume,pq,ambientrain,0.00397254,0.017347336,57.64573799,0.289873418,0.79,0.229,2.222843367,0.26
87,nonlegume,pq,ambientrain,0.00358974,0.018408923,54.32148289,0.316558442,0.62,0.195,3.0011869,0.18
88,nonlegume,pq,ambientrain,0.00255897,0.014964737,66.82376112,0.382550336,0.45,0.171,3.117749353,0.21
89,nonlegume,pq,ambientrain_water_nutrients,0.0057428,0.020437011,48.93083513,0.271497585,1.04,0.281,1.891655997,0.26
90,nonlegume,pq,ambientrain_water_nutrients,0.00735935,0.020672331,48.37383736,0.294701987,1.21,0.356,2.489219761,0.19
91,nonlegume,pq,ambientrain_water_nutrients,0.00812469,0.017472452,57.23295289,0.330490405,1.41,0.465,2.562669532,0.22
92,nonlegume,pq,ambientrain_water_nutrients,0.00548788,0.014712815,67.96795848,0.353219697,1.06,0.373,2.875936184,0.24
93,nonlegume,pq,ambientrain_water,0.00360281,0.020587486,48.57319703,0.262762763,0.67,0.175,1.966526196,0.25
94,nonlegume,pq,ambientrain_water,0.00172765,0.017105446,58.46091512,0.282913165,0.36,0.101,2.363648859,0.25
95,nonlegume,pq,ambientrain_water,0.00193497,0.017752018,56.33162271,0.324404762,0.34,0.109,3.275094344,0.17
96,nonlegume,pq,ambientrain_water,0.00161297,0.019433373,51.45786964,0.25304878,0.33,0.083,1.851002505,0.28
97,nonlegume,pq,ambientrain_nutrients,0.00501207,0.019203333,52.07429266,0.296928328,0.88,0.261,2.287304216,0.23
98,nonlegume,pq,ambientrain_nutrients,0.00559258,0.02292041,43.62923731,0.271714922,0.9,0.244,2.432857099,0.18
99,nonlegume,pq,ambientrain_nutrients,0.0055902,0.01736087,57.6008014,0.296228151,1.09,0.322,2.778173701,0.21
100,nonlegume,pq,ambientrain_nutrients,0.0031838,0.01641134,60.93347572,0.300775194,0.65,0.194,2.740636089,0.22
101,legume,gs,Harvestatthebeginning,0.00466038,0.025466557,39.26718422,0.190426639,0.96,0.183,na,na
102,legume,gs,Harvestatthebeginning,0.00462994,0.021635234,46.22090135,0.213572854,1,0.214,na,na
103,legume,gs,Harvestatthebeginning,0.00357978,0.022947308,43.57809698,0.198221093,0.79,0.156,na,na
104,legume,gs,Harvestatthebeginning,0.00364154,0.021049364,47.50737325,0.212792128,0.81,0.173,na,na
105,legume,gs,ambientrain,0.00831459,0.012317911,81.18259589,0.288708298,2.34,0.675,2.773892798,0.29
106,legume,gs,ambientrain,0.0040991,0.014484452,69.03954527,0.240646259,1.18,0.283,2.504457507,0.28
107,legume,gs,ambientrain,0.00703572,0.014300244,69.92887722,0.271523179,1.81,0.492,2.51241475,0.28
108,legume,gs,ambientrain,0.0050489,0.015071343,66.35108638,0.264822134,1.27,0.335,2.412766777,0.28
109,legume,gs,ambientrain_water_nutrients,0.01134191,0.015952053,62.68785416,0.268707483,2.65,0.711,2.407984155,0.26
110,legume,gs,ambientrain_water_nutrients,0.00995339,0.014789584,67.61515423,0.259945925,2.59,0.673,2.383612958,0.28
111,legume,gs,ambientrain_water_nutrients,0.00771056,0.016835284,59.39905792,0.25572306,1.79,0.458,2.036539129,0.29
112,legume,gs,ambientrain_water_nutrients,0.00982282,0.013796096,72.48427641,0.296666667,2.4,0.712,2.694582766,0.27
113,legume,gs,ambientrain_water,0.0061778,0.014040455,71.22276539,0.257159556,1.71,0.44,2.37937969,0.3
114,legume,gs,ambientrain_water,0.00594895,0.015214706,65.7258844,0.269469331,1.45,0.391,2.401676653,0.27
115,legume,gs,ambientrain_water,0.00818567,0.011182609,89.42456757,0.328545781,2.23,0.732,3.076533288,0.29
116,legume,gs,ambientrain_water,0.00447625,0.012503492,79.97765987,0.310763889,1.15,0.358,2.81281336,0.28
117,legume,gs,ambientrain_nutrients,0.0100953,0.015090135,66.26846156,0.328424153,2.04,0.669,2.48817753,0.27
118,legume,gs,ambientrain_nutrients,0.00996229,0.015614875,64.0415005,0.268405553,2.38,0.638,2.479025826,0.26
119,legume,gs,ambientrain_nutrients,0.00628784,0.014258141,70.1353724,0.29205298,1.51,0.441,2.59120834,0.27
120,legume,gs,ambientrain_nutrients,0.00900645,0.015968883,62.62178772,0.286731063,1.97,0.564,2.538721124,0.25
121,legume,dr,Harvestatthebeginning,0.00215497,0.023423587,42.69200963,0.226044226,0.41,0.092,na,na
122,legume,dr,Harvestatthebeginning,0.00076632,0.045077647,22.18394404,0.157407407,0.11,0.017,na,na
123,legume,dr,Harvestatthebeginning,0.00232276,0.026098427,38.31648556,0.247222222,0.36,0.089,na,na
124,legume,dr,Harvestatthebeginning,0.00080515,0.036597727,27.3241011,0.181818182,0.12,0.022,na,na
126,legume,dr,ambientrain,0.00871681,0.014036731,71.24165836,0.332619175,1.87,0.621,2.76487678,0.26
127,legume,dr,ambientrain,0.01292157,0.01415287,70.65704864,0.353328173,2.58,0.913,3.103530687,0.23
128,legume,dr,ambientrain,0.00989003,0.016906034,59.1504778,0.323561947,1.81,0.585,2.857511005,0.21
129,legume,dr,ambientrain_water_nutrients,0.01060058,0.014344493,69.71316664,0.309853249,2.39,0.739,2.677842509,0.26
130,legume,dr,ambientrain_water_nutrients,0.01093136,0.014104981,70.89694237,0.335788562,2.31,0.775,3.208006442,0.22
131,legume,dr,ambientrain_water_nutrients,0.01147232,0.013973593,71.56355471,0.350555081,2.34,0.821,3.318248287,0.22
132,legume,dr,ambientrain_water_nutrients,0.01128904,0.013552269,73.78838236,0.385648148,2.16,0.833,3.553212634,0.21
133,legume,dr,ambientrain_water,0.00803905,0.013353904,74.88447018,0.32860262,1.83,0.602,3.098667732,0.24
134,legume,dr,ambientrain_water,0.00799511,0.013928763,71.79388401,0.355417957,1.62,0.574,3.344435591,0.21
135,legume,dr,ambientrain_water,0.0100127,0.012594591,79.39916306,0.356023287,2.23,0.795,3.258515584,0.24
136,legume,dr,ambientrain_water,0.00898884,0.014687647,68.08442469,0.337562052,1.81,0.612,3.003724619,0.23
137,legume,dr,ambientrain_nutrients,0.00686285,0.012827757,77.95595124,0.401049475,1.33,0.535,3.910833674,0.2
138,legume,dr,ambientrain_nutrients,0.00821543,0.015213759,65.72997396,0.325301205,1.66,0.54,2.861972742,0.23
139,legume,dr,ambientrain_nutrients,0.00728692,0.017772976,56.26519847,0.253555968,1.62,0.41,2.212262063,0.25
140,legume,dr,ambientrain_nutrients,0.00917681,0.013655967,73.22806073,0.326848249,2.06,0.672,3.068214835,0.24
141,nonlegume,to,Harvestatthebeginning,0.00038394,0.02399625,41.6731781,0.363636364,0.04,0.016,na,na
142,nonlegume,to,Harvestatthebeginning,0.00061843,0.0309215,32.33995763,0.27027027,0.07,0.02,na,na
143,nonlegume,to,Harvestatthebeginning,0.00037466,0.01703,58.71990605,0.379310345,0.06,0.022,na,na
144,nonlegume,to,Harvestatthebeginning,0.00091707,0.0327525,30.53202046,0.25,0.11,0.028,na,na
145,nonlegume,to,ambientrain,0.00236324,0.021681101,46.12311911,0.372013652,0.29,0.109,1.973885269,0.23
146,nonlegume,to,ambientrain,0.0020843,0.020041346,49.89684786,0.383763838,0.27,0.104,2.398886916,0.21
147,nonlegume,to,ambientrain,0.00158521,0.01741989,57.40564342,0.40625,0.22,0.091,2.716355367,0.21
148,nonlegume,to,ambientrain,0.00237209,0.01960405,51.00986893,0.398026316,0.3,0.121,2.7037033,0.19
149,nonlegume,to,ambientrain_water_nutrients,0.00341351,0.016025869,62.39911411,0.416829746,0.51,0.213,2.853618023,0.22
150,nonlegume,to,ambientrain_water_nutrients,0.0044834,0.017513281,57.09952268,0.385542169,0.66,0.256,2.392438101,0.24
151,nonlegume,to,ambientrain_water_nutrients,0.00511923,0.019101604,52.35162319,0.382310984,0.7,0.268,2.296123824,0.23
152,nonlegume,to,ambientrain_water_nutrients,0.00453607,0.020432748,48.94104368,0.354632588,0.63,0.222,2.589473211,0.19
153,nonlegume,to,ambientrain_water,0.001361,0.016597561,60.24981631,0.448087432,0.18,0.082,2.638678087,0.23
154,nonlegume,to,ambientrain_water,0.00171728,0.016355048,61.14320321,0.413385827,0.25,0.105,2.658400139,0.23
155,nonlegume,to,ambientrain_water,0.00180829,0.016589817,60.27794214,0.42578125,0.26,0.109,2.940387422,0.21
156,nonlegume,to,ambientrain_water,0.004025,0.018548387,53.91304348,0.397435897,0.55,0.217,3.221895029,0.17
157,nonlegume,to,ambientrain_nutrients,0.00352284,0.015316696,65.28823336,0.427509294,0.54,0.23,2.511085898,0.26
158,nonlegume,to,ambientrain_nutrients,0.00540203,0.018757049,53.31329148,0.374512354,0.77,0.288,3.087642364,0.17
159,nonlegume,to,ambientrain_nutrients,0.00606422,0.019436603,51.44932077,0.370106762,0.84,0.312,2.469567397,0.21
160,nonlegume,to,ambientrain_nutrients,0.00983267,0.019018704,52.5798181,0.396472393,1.3,0.517,2.762512334,0.19
